label,rps_target,connections,trial,latency_us,percentile
vanilla,10000,10,1,654.000,0.059333
vanilla,10000,10,1,654.000,0.059499
vanilla,10000,10,1,655.000,0.059666
vanilla,10000,10,1,655.000,0.059833
vanilla,10000,10,1,656.000,0.059999
vanilla,10000,10,1,656.000,0.060166
vanilla,10000,10,1,657.000,0.060333
vanilla,10000,10,1,657.000,0.060499
vanilla,10000,10,1,658.000,0.060666
vanilla,10000,10,1,658.000,0.060833
vanilla,10000,10,1,658.000,0.060999
vanilla,10000,10,1,659.000,0.061166
vanilla,10000,10,1,659.000,0.061333
vanilla,10000,10,1,660.000,0.061499
vanilla,10000,10,1,660.000,0.061666
vanilla,10000,10,1,661.000,0.061833
vanilla,10000,10,1,662.000,0.061999
vanilla,10000,10,1,662.000,0.062166
vanilla,10000,10,1,662.000,0.062333
vanilla,10000,10,1,663.000,0.062499
vanilla,10000,10,1,663.000,0.062666
vanilla,10000,10,1,664.000,0.062833
vanilla,10000,10,1,664.000,0.062999
vanilla,10000,10,1,665.000,0.063166
vanilla,10000,10,1,665.000,0.063333
vanilla,10000,10,1,666.000,0.063499
vanilla,10000,10,1,666.000,0.063666
vanilla,10000,10,1,667.000,0.063833
vanilla,10000,10,1,667.000,0.063999
vanilla,10000,10,1,668.000,0.064166
vanilla,10000,10,1,668.000,0.064333
vanilla,10000,10,1,669.000,0.064499
vanilla,10000,10,1,669.000,0.064666
vanilla,10000,10,1,670.000,0.064833
vanilla,10000,10,1,670.000,0.064999
vanilla,10000,10,1,670.000,0.065166
vanilla,10000,10,1,671.000,0.065333
vanilla,10000,10,1,671.000,0.065499
vanilla,10000,10,1,672.000,0.065666
vanilla,10000,10,1,673.000,0.065833
vanilla,10000,10,1,673.000,0.065999
vanilla,10000,10,1,673.000,0.066166
vanilla,10000,10,1,674.000,0.066333
vanilla,10000,10,1,674.000,0.066499
vanilla,10000,10,1,675.000,0.066666
vanilla,10000,10,1,675.000,0.066833
vanilla,10000,10,1,676.000,0.066999
vanilla,10000,10,1,676.000,0.067166
vanilla,10000,10,1,677.000,0.067333
vanilla,10000,10,1,677.000,0.067499
vanilla,10000,10,1,678.000,0.067666
vanilla,10000,10,1,678.000,0.067833
vanilla,10000,10,1,679.000,0.067999
vanilla,10000,10,1,679.000,0.068166
vanilla,10000,10,1,679.000,0.068333
vanilla,10000,10,1,680.000,0.068499
vanilla,10000,10,1,681.000,0.068666
vanilla,10000,10,1,681.000,0.068833
vanilla,10000,10,1,682.000,0.068999
vanilla,10000,10,1,682.000,0.069166
vanilla,10000,10,1,683.000,0.069333
vanilla,10000,10,1,683.000,0.069499
vanilla,10000,10,1,684.000,0.069666
vanilla,10000,10,1,684.000,0.069833
vanilla,10000,10,1,684.000,0.069999
vanilla,10000,10,1,685.000,0.070166
vanilla,10000,10,1,685.000,0.070333
vanilla,10000,10,1,686.000,0.070499
vanilla,10000,10,1,686.000,0.070666
vanilla,10000,10,1,686.000,0.070833
vanilla,10000,10,1,687.000,0.070999
vanilla,10000,10,1,687.000,0.071166
vanilla,10000,10,1,688.000,0.071333
vanilla,10000,10,1,688.000,0.071499
vanilla,10000,10,1,689.000,0.071666
vanilla,10000,10,1,689.000,0.071833
vanilla,10000,10,1,689.000,0.071999
vanilla,10000,10,1,690.000,0.072166
vanilla,10000,10,1,690.000,0.072333
vanilla,10000,10,1,691.000,0.072499
vanilla,10000,10,1,691.000,0.072666
vanilla,10000,10,1,691.000,0.072833
vanilla,10000,10,1,692.000,0.072999
vanilla,10000,10,1,692.000,0.073166
vanilla,10000,10,1,693.000,0.073333
vanilla,10000,10,1,693.000,0.073499
vanilla,10000,10,1,693.000,0.073666
vanilla,10000,10,1,694.000,0.073833
vanilla,10000,10,1,694.000,0.073999
vanilla,10000,10,1,694.000,0.074166
vanilla,10000,10,1,695.000,0.074333
vanilla,10000,10,1,695.000,0.074499
vanilla,10000,10,1,696.000,0.074666
vanilla,10000,10,1,696.000,0.074833
vanilla,10000,10,1,696.000,0.074999
vanilla,10000,10,1,697.000,0.075166
vanilla,10000,10,1,697.000,0.075333
vanilla,10000,10,1,697.000,0.075499
vanilla,10000,10,1,698.000,0.075666
vanilla,10000,10,1,698.000,0.075833
vanilla,10000,10,1,698.000,0.075999
vanilla,10000,10,1,699.000,0.076166
vanilla,10000,10,1,699.000,0.076333
vanilla,10000,10,1,700.000,0.076499
vanilla,10000,10,1,700.000,0.076666
vanilla,10000,10,1,700.000,0.076833
vanilla,10000,10,1,701.000,0.076999
vanilla,10000,10,1,701.000,0.077166
vanilla,10000,10,1,701.000,0.077333
vanilla,10000,10,1,702.000,0.077499
vanilla,10000,10,1,702.000,0.077666
vanilla,10000,10,1,703.000,0.077833
vanilla,10000,10,1,703.000,0.077999
vanilla,10000,10,1,703.000,0.078166
vanilla,10000,10,1,704.000,0.078333
vanilla,10000,10,1,704.000,0.078499
vanilla,10000,10,1,704.000,0.078666
vanilla,10000,10,1,705.000,0.078833
vanilla,10000,10,1,705.000,0.078999
vanilla,10000,10,1,706.000,0.079166
vanilla,10000,10,1,706.000,0.079333
vanilla,10000,10,1,706.000,0.079499
vanilla,10000,10,1,707.000,0.079666
vanilla,10000,10,1,707.000,0.079833
vanilla,10000,10,1,707.000,0.079999
vanilla,10000,10,1,708.000,0.080166
vanilla,10000,10,1,708.000,0.080333
vanilla,10000,10,1,708.000,0.080499
vanilla,10000,10,1,709.000,0.080666
vanilla,10000,10,1,709.000,0.080833
vanilla,10000,10,1,710.000,0.080999
vanilla,10000,10,1,710.000,0.081166
vanilla,10000,10,1,710.000,0.081333
vanilla,10000,10,1,711.000,0.081499
vanilla,10000,10,1,711.000,0.081666
vanilla,10000,10,1,711.000,0.081833
vanilla,10000,10,1,712.000,0.081999
vanilla,10000,10,1,712.000,0.082166
vanilla,10000,10,1,713.000,0.082333
vanilla,10000,10,1,713.000,0.082499
vanilla,10000,10,1,713.000,0.082666
vanilla,10000,10,1,714.000,0.082833
vanilla,10000,10,1,714.000,0.082999
vanilla,10000,10,1,714.000,0.083166
vanilla,10000,10,1,715.000,0.083332
vanilla,10000,10,1,715.000,0.083499
vanilla,10000,10,1,716.000,0.083666
vanilla,10000,10,1,716.000,0.083832
vanilla,10000,10,1,716.000,0.083999
vanilla,10000,10,1,717.000,0.084166
vanilla,10000,10,1,717.000,0.084332
vanilla,10000,10,1,717.000,0.084499
vanilla,10000,10,1,718.000,0.084666
vanilla,10000,10,1,718.000,0.084832
vanilla,10000,10,1,718.000,0.084999
vanilla,10000,10,1,719.000,0.085166
vanilla,10000,10,1,719.000,0.085332
vanilla,10000,10,1,720.000,0.085499
vanilla,10000,10,1,720.000,0.085666
vanilla,10000,10,1,720.000,0.085832
vanilla,10000,10,1,720.000,0.085999
vanilla,10000,10,1,721.000,0.086166
vanilla,10000,10,1,721.000,0.086332
vanilla,10000,10,1,722.000,0.086499
vanilla,10000,10,1,722.000,0.086666
vanilla,10000,10,1,722.000,0.086832
vanilla,10000,10,1,723.000,0.086999
vanilla,10000,10,1,723.000,0.087166
vanilla,10000,10,1,723.000,0.087332
vanilla,10000,10,1,724.000,0.087499
vanilla,10000,10,1,724.000,0.087666
vanilla,10000,10,1,724.000,0.087832
vanilla,10000,10,1,725.000,0.087999
vanilla,10000,10,1,725.000,0.088166
vanilla,10000,10,1,725.000,0.088332
vanilla,10000,10,1,726.000,0.088499
vanilla,10000,10,1,726.000,0.088666
vanilla,10000,10,1,726.000,0.088832
vanilla,10000,10,1,727.000,0.088999
vanilla,10000,10,1,727.000,0.089166
vanilla,10000,10,1,727.000,0.089332
vanilla,10000,10,1,728.000,0.089499
vanilla,10000,10,1,728.000,0.089666
vanilla,10000,10,1,729.000,0.089832
vanilla,10000,10,1,729.000,0.089999
vanilla,10000,10,1,729.000,0.090166
vanilla,10000,10,1,730.000,0.090332
vanilla,10000,10,1,730.000,0.090499
vanilla,10000,10,1,730.000,0.090666
vanilla,10000,10,1,731.000,0.090832
vanilla,10000,10,1,731.000,0.090999
vanilla,10000,10,1,732.000,0.091166
vanilla,10000,10,1,732.000,0.091332
vanilla,10000,10,1,732.000,0.091499
vanilla,10000,10,1,733.000,0.091666
vanilla,10000,10,1,733.000,0.091832
